image_path,label
Animal-10-split\butterfly\e030b20928e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e030b20929e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e030b2092be90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e030b2092ce90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e030b2092de90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e030b20a20e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e132b60e2af51c22d2524518b7444f92e37fe5d404b0144390f8c770a3e5b7_640.jpg,butterfly
Animal-10-split\butterfly\e134b50a2efc1c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,butterfly
Animal-10-split\butterfly\e830b30a20f5003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.png,butterfly
Animal-10-split\butterfly\e830b30a20f6033ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.png,butterfly
Animal-10-split\butterfly\e830b30a20f6053ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.png,butterfly
Animal-10-split\butterfly\e831b00c2ef3093ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,butterfly
Animal-10-split\butterfly\e831b10b2ee90021d85a5854ee454296eb70e3c818b413449df6c87dafef_640.jpg,butterfly
Animal-10-split\butterfly\e831b30a28f21c22d2524518b7444f92e37fe5d404b0144390f8c770a3e5b7_640.jpg,butterfly
Animal-10-split\butterfly\e831b50f2df71c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,butterfly
Animal-10-split\butterfly\e832b00a2df11c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,butterfly
Animal-10-split\butterfly\e832b10a2fe90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,butterfly
Animal-10-split\butterfly\e832b10e2efc043ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,butterfly
Animal-10-split\butterfly\e832b4082df5003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,butterfly
Animal-10-split\butterfly\e832b60c2ffc1c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,butterfly
Animal-10-split\butterfly\e832b7062ff6093ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.png,butterfly
Animal-10-split\butterfly\e832b7072ef41c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,butterfly
Animal-10-split\butterfly\e832b70c2af0043ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,butterfly
Animal-10-split\butterfly\e832b70e2bf71c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,butterfly
Animal-10-split\butterfly\e832b70e2df21c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,butterfly
